X,CH1,CH2,
Second,Volt,Volt,
-5.99940e-01,1.74e-01,5.97e-01,
-5.99793e-01,1.74e-01,5.97e-01,
-5.99647e-01,1.74e-01,5.97e-01,
-5.99501e-01,1.74e-01,5.97e-01,
-5.99354e-01,1.74e-01,5.97e-01,
-5.99208e-01,1.74e-01,5.97e-01,
-5.99061e-01,1.74e-01,5.97e-01,
-5.98915e-01,1.74e-01,5.97e-01,
-5.98768e-01,1.72e-01,5.97e-01,
-5.98622e-01,1.74e-01,5.97e-01,
-5.98475e-01,1.74e-01,5.97e-01,
-5.98329e-01,1.74e-01,5.97e-01,
-5.98182e-01,1.74e-01,5.97e-01,
-5.98036e-01,1.74e-01,5.97e-01,
-5.97889e-01,1.74e-01,5.97e-01,
-5.97743e-01,1.74e-01,5.97e-01,
-5.97596e-01,1.74e-01,5.97e-01,
-5.97450e-01,1.74e-01,5.97e-01,
-5.97303e-01,1.74e-01,5.97e-01,
-5.97157e-01,1.72e-01,5.97e-01,
-5.97010e-01,1.72e-01,5.97e-01,
-5.96864e-01,1.72e-01,5.97e-01,
-5.96717e-01,1.74e-01,5.97e-01,
-5.96571e-01,1.74e-01,5.97e-01,
-5.96424e-01,1.74e-01,5.97e-01,
-5.96278e-01,1.72e-01,5.97e-01,
-5.96131e-01,1.72e-01,5.97e-01,
-5.95985e-01,1.70e-01,5.97e-01,
-5.95838e-01,1.74e-01,5.97e-01,
-5.95692e-01,1.74e-01,5.97e-01,
-5.95545e-01,1.72e-01,5.97e-01,
-5.95399e-01,1.70e-01,5.97e-01,
-5.95253e-01,1.72e-01,5.97e-01,
-5.95106e-01,1.70e-01,5.97e-01,
-5.94960e-01,1.70e-01,5.97e-01,
-5.94813e-01,1.74e-01,5.97e-01,
-5.94667e-01,1.74e-01,5.97e-01,
-5.94520e-01,1.72e-01,5.97e-01,
-5.94374e-01,1.74e-01,5.97e-01,
-5.94227e-01,1.70e-01,5.97e-01,
-5.94081e-01,1.72e-01,5.97e-01,
-5.93934e-01,1.74e-01,5.97e-01,
